Temperature ( C) , Humidity ( %) , Light ( lx) , Battery ( %) , Solar Panel ( V) , Carbon Monxide ( kOhm) , Nitrogen Dioxide ( kOhm) , Noise ( dB) , UTC
19.00,52.50,4540.80,71.20,0.00,640.84,8.62,1.00,2016-01-21 13:49:38
18.90,52.80,4540.80,71.20,0.00,635.14,8.71,1.00,2016-01-21 13:50:08
18.90,53.00,4540.80,71.20,0.00,634.59,8.75,1.00,2016-01-21 13:50:38
18.90,53.30,4540.80,71.20,0.00,628.60,8.79,1.00,2016-01-21 13:51:09
18.90,53.50,4540.80,71.20,0.00,632.01,8.83,1.00,2016-01-21 13:51:39
18.90,53.40,4540.80,71.20,0.00,634.98,8.96,1.00,2016-01-21 13:52:09
18.90,53.30,4540.80,71.30,0.00,631.21,9.09,1.00,2016-01-21 13:52:39
19.00,53.30,4540.80,71.20,0.00,628.58,9.09,1.00,2016-01-21 13:53:09
19.20,52.90,4540.80,71.20,0.00,628.64,9.14,1.00,2016-01-21 13:53:39
19.40,52.50,4540.80,71.20,0.00,626.77,9.13,1.00,2016-01-21 13:54:09
19.60,52.10,4540.80,71.20,0.00,622.34,9.14,1.00,2016-01-21 13:54:39
19.50,52.00,4540.80,71.10,0.00,622.39,9.26,1.00,2016-01-21 13:55:09
19.80,51.70,4540.80,70.70,0.00,616.27,9.22,1.00,2016-01-21 13:55:39
20.20,51.00,4540.80,71.10,0.00,616.25,9.13,1.00,2016-01-21 13:56:09
20.60,50.50,4540.80,70.60,0.00,610.20,9.14,1.00,2016-01-21 13:56:39
21.20,49.70,4540.80,70.60,0.00,610.22,9.10,1.00,2016-01-21 13:57:10
21.80,48.80,4540.80,70.60,0.00,586.76,9.09,1.00,2016-01-21 13:57:40
22.30,47.80,4540.80,70.60,0.00,592.50,9.09,1.00,2016-01-21 13:58:10
22.80,47.20,4540.80,70.60,0.00,586.07,9.04,1.00,2016-01-21 13:58:40
23.40,46.00,4540.80,70.60,0.00,581.18,9.05,1.00,2016-01-21 13:59:10
23.80,45.20,4540.80,70.60,0.00,575.64,9.01,1.00,2016-01-21 13:59:40
23.90,43.90,4540.80,70.60,0.00,575.66,9.12,1.00,2016-01-21 14:00:10
23.30,44.20,4540.80,70.60,0.00,592.55,9.31,1.00,2016-01-21 14:00:40
23.30,44.50,4540.80,70.60,0.00,551.98,9.32,6.78,2016-01-21 14:01:10
23.50,44.40,4540.80,70.60,0.00,570.21,9.36,1.00,2016-01-21 14:01:40
23.90,43.90,4540.80,70.60,0.00,493.64,9.27,1.00,2016-01-21 14:02:10
24.20,43.20,4540.80,70.50,0.00,511.13,9.27,1.00,2016-01-21 14:02:40
24.00,42.90,4540.80,70.50,0.00,524.92,9.42,1.00,2016-01-21 14:03:10
23.80,43.90,4540.80,70.60,0.00,534.44,9.45,64.99,2016-01-21 14:03:41
23.90,43.50,4540.80,70.50,0.00,473.29,9.46,1.00,2016-01-21 14:04:11
24.60,42.70,4540.80,70.50,0.00,549.44,9.41,1.00,2016-01-21 14:04:41
24.90,42.30,4540.80,70.50,0.00,539.56,9.37,1.00,2016-01-21 14:05:11
25.10,41.80,4540.80,70.50,0.00,529.76,9.46,1.00,2016-01-21 14:05:41
25.20,42.10,4540.80,70.50,0.00,515.87,9.56,1.00,2016-01-21 14:06:11
25.20,41.80,4540.80,70.40,0.00,534.80,9.65,1.00,2016-01-21 14:06:41
25.30,41.90,4540.80,70.50,0.00,539.61,9.65,1.00,2016-01-21 14:07:11
25.60,41.70,4540.80,70.50,0.00,529.97,9.55,1.00,2016-01-21 14:07:41
26.00,40.90,4540.80,70.30,0.00,516.19,9.38,55.45,2016-01-21 14:08:11
26.30,40.10,4540.80,70.50,0.00,525.20,9.24,1.00,2016-01-21 14:08:41
26.50,40.00,4540.80,70.40,0.00,520.43,9.24,1.00,2016-01-21 14:09:11
26.60,39.50,4540.80,70.50,0.00,520.55,9.24,1.00,2016-01-21 14:09:41
26.70,39.20,4540.80,70.40,0.00,515.97,9.28,1.00,2016-01-21 14:10:12
26.50,39.50,4540.80,70.40,0.00,520.57,9.30,1.00,2016-01-21 14:10:42
26.90,39.20,4540.80,70.40,0.00,516.57,9.33,1.00,2016-01-21 14:11:12
27.10,39.00,4540.80,70.50,0.00,518.66,9.33,1.00,2016-01-21 14:11:42
27.40,38.60,4540.80,70.40,0.00,520.58,9.38,1.00,2016-01-21 14:12:12
27.60,38.40,4540.80,70.40,0.00,516.18,9.42,1.00,2016-01-21 14:12:42
27.70,38.10,4540.80,70.40,0.00,516.06,9.51,1.00,2016-01-21 14:13:12
27.70,38.00,4540.80,70.50,0.00,515.97,9.51,1.00,2016-01-21 14:13:42
27.70,38.00,4540.80,70.40,0.00,520.61,9.56,1.00,2016-01-21 14:14:12
27.80,37.70,4540.80,70.40,0.00,516.10,9.65,1.00,2016-01-21 14:14:42
27.90,37.40,4540.80,70.50,0.00,515.97,9.69,1.00,2016-01-21 14:15:12
27.90,37.60,4540.80,70.40,0.00,515.99,9.74,1.00,2016-01-21 14:15:42
27.50,37.90,4540.80,70.40,0.00,516.08,9.93,1.00,2016-01-21 14:16:13
27.20,38.10,4540.80,70.40,0.00,516.00,9.93,1.00,2016-01-21 14:16:43
26.40,38.90,4540.80,70.40,0.00,515.97,10.24,1.00,2016-01-21 14:17:13
25.80,39.90,4540.80,70.40,0.00,520.57,10.39,1.00,2016-01-21 14:17:43
25.50,40.50,4540.80,70.40,0.00,520.58,10.44,1.00,2016-01-21 14:18:13
24.90,41.10,4540.80,70.50,0.00,516.15,10.59,1.00,2016-01-21 14:18:43
24.50,41.80,4540.80,70.50,0.00,520.52,10.75,1.00,2016-01-21 14:19:13
24.10,42.50,4540.80,70.50,0.00,520.52,10.85,1.00,2016-01-21 14:19:43
23.80,43.10,4540.80,70.50,0.00,520.51,10.96,1.00,2016-01-21 14:20:13
23.50,43.70,4540.80,70.50,0.00,520.52,11.06,1.00,2016-01-21 14:20:43
23.20,44.10,4540.80,70.50,0.00,520.55,11.13,1.00,2016-01-21 14:21:13
23.40,44.20,4540.80,70.50,0.00,520.51,11.11,1.00,2016-01-21 14:21:43
23.40,44.30,4540.80,70.00,0.00,520.52,11.30,1.00,2016-01-21 14:22:14
23.40,44.30,4540.80,70.00,0.00,520.52,11.30,1.00,2016-01-21 14:22:44
23.50,44.20,4540.80,70.00,0.00,520.43,11.34,1.00,2016-01-21 14:23:14
23.70,44.00,4540.80,70.00,0.00,520.48,11.35,1.00,2016-01-21 14:23:44
23.40,44.20,4540.80,70.00,0.00,520.48,11.52,1.00,2016-01-21 14:24:14
23.10,44.70,4540.80,70.10,0.00,515.83,11.58,1.00,2016-01-21 14:24:44
22.90,45.00,4540.80,70.00,0.00,516.23,11.69,1.00,2016-01-21 14:25:14
23.00,45.10,4540.80,70.00,0.00,520.43,11.68,1.00,2016-01-21 14:25:44
22.80,45.30,4540.80,70.10,0.00,520.28,11.79,1.00,2016-01-21 14:26:14
22.60,45.60,4540.80,70.10,0.00,520.28,11.91,1.00,2016-01-21 14:26:44
22.50,45.80,4540.80,70.10,0.00,515.77,11.92,1.00,2016-01-21 14:27:14
23.10,45.50,4540.80,70.10,0.00,515.74,11.73,1.00,2016-01-21 14:27:44
23.40,44.90,4540.80,70.10,0.00,515.74,11.79,1.00,2016-01-21 14:28:14
24.20,43.90,4540.80,70.10,0.00,511.25,11.62,1.00,2016-01-21 14:28:44
24.70,43.00,4540.80,70.00,0.00,511.37,11.57,1.00,2016-01-21 14:29:15
25.10,42.20,4540.80,70.00,0.00,511.37,11.57,1.00,2016-01-21 14:29:45
25.00,42.00,4540.80,70.00,0.00,511.08,11.74,1.00,2016-01-21 14:30:15
24.50,42.40,4540.80,70.00,0.00,511.35,12.05,1.00,2016-01-21 14:30:45
23.90,43.10,4540.80,70.10,0.00,511.19,12.15,1.00,2016-01-21 14:31:15
23.50,43.80,4540.80,70.10,0.00,511.58,12.34,1.00,2016-01-21 14:31:45
23.20,44.40,4540.80,70.10,0.00,511.19,12.39,1.00,2016-01-21 14:32:15
22.90,44.90,4540.80,70.10,0.00,511.25,12.51,1.00,2016-01-21 14:32:45
22.60,45.50,4540.80,70.20,0.00,511.75,12.63,1.00,2016-01-21 14:33:15
22.30,46.00,4540.80,70.20,0.00,515.61,12.69,1.00,2016-01-21 14:33:45
22.20,46.20,4540.80,70.10,0.00,515.68,12.81,1.00,2016-01-21 14:34:15
22.10,46.50,4540.80,70.20,0.00,515.59,12.90,1.00,2016-01-21 14:34:45
21.90,46.80,4540.80,69.80,0.00,514.85,12.96,1.00,2016-01-21 14:35:16
21.70,47.10,4540.80,69.80,0.00,510.96,12.96,1.00,2016-01-21 14:35:46
22.10,47.00,4540.80,69.90,0.00,510.90,12.83,1.00,2016-01-21 14:36:16
22.10,46.90,4540.80,69.90,0.00,510.87,12.95,1.00,2016-01-21 14:36:46
21.90,46.90,4540.80,69.90,0.00,510.88,13.08,1.00,2016-01-21 14:37:16
21.80,47.10,4540.80,69.80,0.00,510.93,13.15,1.00,2016-01-21 14:37:46
21.70,47.40,4540.80,70.00,0.00,510.75,13.63,1.00,2016-01-21 14:38:16
21.90,47.30,4540.80,69.80,0.00,511.06,13.61,1.00,2016-01-21 14:38:46
22.00,47.00,4540.80,69.80,0.00,506.58,13.64,1.00,2016-01-21 14:39:16
21.90,47.00,4540.80,69.70,0.00,511.10,13.84,1.00,2016-01-21 14:39:46
21.70,47.30,4540.80,69.80,0.00,511.04,13.90,60.05,2016-01-21 14:40:16
21.60,47.60,4540.80,69.80,0.00,511.03,14.01,1.00,2016-01-21 14:40:46
21.40,47.90,4540.80,69.80,0.00,510.98,14.09,1.00,2016-01-21 14:41:16
21.30,48.10,4540.80,69.80,0.00,507.90,14.10,1.00,2016-01-21 14:41:47
21.20,48.30,4540.80,69.80,0.00,511.00,14.17,1.00,2016-01-21 14:42:17
21.10,48.60,4540.80,69.80,0.00,506.54,14.20,1.00,2016-01-21 14:42:47
21.10,48.70,4540.80,69.80,0.00,506.57,14.25,1.00,2016-01-21 14:43:17
21.10,48.80,4540.80,69.80,0.00,510.98,14.37,1.00,2016-01-21 14:43:47
21.10,48.90,4540.80,69.80,0.00,506.60,14.37,1.00,2016-01-21 14:44:17
21.10,49.00,4540.80,69.80,0.00,507.45,14.44,1.00,2016-01-21 14:44:47
21.00,48.90,4540.80,69.80,0.00,510.37,14.51,1.00,2016-01-21 14:45:17
20.90,49.10,4540.80,69.80,0.00,506.54,14.51,1.00,2016-01-21 14:45:47
20.90,49.20,4540.80,69.80,0.00,506.55,14.56,1.00,2016-01-21 14:46:17
20.90,49.20,4540.80,69.80,0.00,506.52,14.59,1.00,2016-01-21 14:46:47
20.80,49.40,4540.80,69.40,0.00,506.54,14.65,1.00,2016-01-21 14:47:17
20.80,49.30,4540.80,69.80,0.00,506.51,14.72,1.00,2016-01-21 14:47:47
20.80,49.40,4540.80,69.40,0.00,506.57,14.72,1.00,2016-01-21 14:48:18
20.80,49.40,4540.80,69.40,0.00,506.54,14.79,1.00,2016-01-21 14:48:48
20.80,49.50,4540.80,69.40,0.00,506.55,14.86,1.00,2016-01-21 14:49:18
20.70,49.50,4540.80,69.40,0.00,506.40,14.93,1.00,2016-01-21 14:49:48
20.70,49.60,4540.80,69.40,0.00,506.52,14.95,1.00,2016-01-21 14:50:18
20.70,49.70,4540.80,69.40,0.00,506.51,15.00,1.00,2016-01-21 14:50:48
20.70,49.80,4540.80,69.40,0.00,502.26,15.00,1.00,2016-01-21 14:51:18
20.60,49.80,4540.80,69.40,0.00,502.35,15.09,1.00,2016-01-21 14:51:48
20.60,49.80,4540.80,69.40,0.00,502.13,15.16,1.00,2016-01-21 14:52:18
20.60,49.80,4540.80,69.40,0.00,502.93,15.17,1.00,2016-01-21 14:52:48
20.50,50.00,4540.80,69.40,0.00,502.11,15.17,1.00,2016-01-21 14:53:18
20.60,50.00,4540.80,69.40,0.00,502.17,15.24,1.00,2016-01-21 14:53:48
20.50,50.00,4540.80,69.40,0.00,502.10,15.31,1.00,2016-01-21 14:54:19
20.50,50.10,4540.80,69.40,0.00,502.16,15.32,1.00,2016-01-21 14:54:49
20.50,50.10,4540.80,69.40,0.00,502.14,15.39,1.00,2016-01-21 14:55:19
20.40,50.20,4540.80,69.40,0.00,502.11,15.39,1.00,2016-01-21 14:55:49
20.40,50.20,4540.80,69.40,0.00,502.11,15.46,1.00,2016-01-21 14:56:19
20.40,50.20,4540.80,69.40,0.00,502.13,15.47,1.00,2016-01-21 14:56:49
20.40,50.30,4540.80,69.40,0.00,502.11,15.54,1.00,2016-01-21 14:57:19
20.40,50.30,4540.80,69.40,0.00,498.76,15.53,1.00,2016-01-21 14:57:49
20.40,50.40,4540.80,69.40,0.00,502.14,15.61,1.00,2016-01-21 14:58:19
20.40,50.40,4540.80,69.40,0.00,497.75,15.61,1.00,2016-01-21 14:58:49
20.40,50.40,4540.80,69.40,0.00,497.74,15.68,1.00,2016-01-21 14:59:19
20.30,50.60,4540.80,69.40,0.00,497.80,15.69,1.00,2016-01-21 14:59:49
20.30,50.50,4540.80,69.00,0.00,497.77,15.69,1.00,2016-01-21 15:00:19
20.30,50.60,4540.80,69.40,0.00,497.81,15.76,1.00,2016-01-21 15:00:50
20.30,50.60,4540.80,69.00,0.00,497.78,15.76,1.00,2016-01-21 15:01:20
20.30,50.60,4540.80,69.00,0.00,497.74,15.78,1.00,2016-01-21 15:01:50
20.40,50.50,4540.80,69.00,0.00,497.80,15.84,1.00,2016-01-21 15:02:20
20.30,50.70,4540.80,69.00,0.00,497.77,15.84,1.00,2016-01-21 15:02:50
20.30,50.70,4540.80,69.00,0.00,497.74,15.84,1.00,2016-01-21 15:03:20
20.30,50.70,4540.80,69.00,0.00,497.77,15.90,1.00,2016-01-21 15:03:50
20.30,50.60,4540.80,69.00,0.00,497.74,15.96,9.10,2016-01-21 15:04:20
20.30,50.90,4540.80,69.00,0.00,497.72,16.04,1.00,2016-01-21 15:04:50
20.30,50.90,4540.80,69.00,0.00,497.65,16.04,1.00,2016-01-21 15:05:20
20.20,50.90,4540.80,69.00,0.00,497.68,16.03,1.00,2016-01-21 15:05:50
20.20,50.90,4540.80,69.00,0.00,497.77,16.12,1.00,2016-01-21 15:06:20
20.20,51.10,4540.80,69.00,0.00,496.01,16.12,1.00,2016-01-21 15:06:50
20.20,51.00,4540.80,69.00,0.00,493.45,16.19,1.00,2016-01-21 15:07:21
20.20,51.10,4540.80,69.00,0.00,493.48,16.19,1.00,2016-01-21 15:07:51
20.20,51.00,4540.80,69.00,0.00,494.15,16.27,1.00,2016-01-21 15:08:21
20.20,51.00,4540.80,69.00,0.00,493.45,16.27,1.00,2016-01-21 15:08:51
20.20,51.10,4540.80,69.00,0.00,493.50,16.27,1.00,2016-01-21 15:09:21
20.10,51.20,4540.80,69.00,0.00,493.50,16.27,1.00,2016-01-21 15:09:51
20.10,51.30,4540.80,69.00,0.00,493.47,16.35,1.00,2016-01-21 15:10:21
20.10,51.30,4540.80,69.00,0.00,493.52,16.35,1.00,2016-01-21 15:10:51
20.10,51.50,4540.80,69.00,0.00,493.47,16.35,1.00,2016-01-21 15:11:21
20.10,51.30,4540.80,69.00,0.00,493.48,16.43,1.00,2016-01-21 15:11:51
20.00,51.40,4540.80,69.00,0.00,493.42,16.43,1.00,2016-01-21 15:12:21
20.00,51.40,4540.80,69.00,0.00,493.47,16.51,73.82,2016-01-21 15:12:51
20.30,52.60,4540.80,69.00,0.00,493.45,16.35,1.00,2016-01-21 15:13:22
20.10,51.50,4540.80,68.50,0.00,493.50,16.51,1.00,2016-01-21 15:13:52
20.00,51.60,4540.80,69.00,0.00,493.50,16.59,1.00,2016-01-21 15:14:22
19.80,52.10,4540.80,68.50,0.00,493.44,16.73,29.95,2016-01-21 15:14:52
19.70,52.50,4540.80,68.60,0.00,493.38,16.75,29.96,2016-01-21 15:15:22
19.70,52.50,4540.80,68.60,0.00,493.36,16.83,65.31,2016-01-21 15:15:52
19.60,52.80,4540.80,68.60,0.00,493.33,16.83,29.96,2016-01-21 15:16:22
19.40,53.00,4540.80,68.60,0.00,493.38,16.92,1.00,2016-01-21 15:16:52
19.30,53.40,4540.80,68.60,0.00,493.32,17.00,1.00,2016-01-21 15:17:22
19.40,53.20,4540.80,68.60,0.00,493.32,17.00,1.00,2016-01-21 15:17:52
19.40,53.40,4540.80,68.60,0.00,493.41,17.00,1.00,2016-01-21 15:18:22
19.30,53.60,4540.80,68.60,0.00,489.13,17.00,1.00,2016-01-21 15:18:52
19.30,53.40,4540.80,68.50,0.00,489.21,17.00,1.00,2016-01-21 15:19:22
19.40,53.30,4540.80,68.50,0.00,489.23,17.00,71.41,2016-01-21 15:19:53
19.40,53.20,4540.80,68.50,0.00,485.19,17.00,1.00,2016-01-21 15:20:23
19.40,53.10,4540.80,68.50,0.00,485.15,17.01,71.03,2016-01-21 15:20:53
19.40,53.00,4540.80,68.50,0.00,485.14,17.00,54.74,2016-01-21 15:21:23
19.40,53.20,4540.80,68.50,0.00,489.26,17.03,1.00,2016-01-21 15:21:53
19.30,53.40,4540.80,68.60,0.00,489.20,17.09,1.00,2016-01-21 15:22:23
19.30,53.50,4540.80,68.60,0.00,489.17,17.12,1.00,2016-01-21 15:22:53
19.30,53.40,4540.80,68.60,0.00,489.19,17.16,1.00,2016-01-21 15:23:23
19.30,53.50,4540.80,68.60,0.00,489.16,17.16,55.48,2016-01-21 15:23:53
19.20,54.20,4540.80,68.50,0.00,488.35,17.17,73.79,2016-01-21 15:24:23
19.20,53.90,4540.80,68.50,0.00,485.15,17.17,1.00,2016-01-21 15:24:53
19.10,54.20,4540.80,68.60,0.00,485.05,17.25,65.87,2016-01-21 15:25:23
19.10,54.10,4540.80,68.50,0.00,485.06,17.25,1.00,2016-01-21 15:25:54
19.20,53.90,4540.80,68.60,0.00,485.02,17.25,1.00,2016-01-21 15:26:24
19.20,54.00,4540.80,68.60,0.00,489.17,17.33,67.25,2016-01-21 15:26:54
19.10,53.90,4540.80,68.50,0.00,485.06,17.33,65.76,2016-01-21 15:27:24
19.10,54.10,4540.80,68.60,0.00,485.04,17.33,34.88,2016-01-21 15:27:54
19.10,53.90,4540.80,68.60,0.00,485.05,17.40,51.58,2016-01-21 15:28:24
19.20,53.90,4540.80,68.60,0.00,485.04,17.47,1.00,2016-01-21 15:28:54
19.20,53.60,4540.80,68.20,0.00,484.95,17.46,67.73,2016-01-21 15:29:24
19.30,53.50,4540.80,68.20,0.00,483.99,17.47,1.00,2016-01-21 15:29:54
19.30,53.40,4540.80,68.20,0.00,481.83,17.47,1.00,2016-01-21 15:30:24
19.40,53.40,4540.80,68.10,0.00,480.99,17.47,1.00,2016-01-21 15:30:54
19.40,53.30,4540.80,68.10,0.00,480.97,17.47,1.00,2016-01-21 15:31:24
19.40,53.20,4540.80,68.10,0.00,481.02,17.47,1.00,2016-01-21 15:31:54
19.40,53.30,4540.80,68.10,0.00,480.99,17.47,1.00,2016-01-21 15:32:25
19.40,53.30,4540.80,68.10,0.00,480.99,17.47,71.03,2016-01-21 15:32:55
19.30,53.40,4540.80,68.10,0.00,480.96,17.55,1.00,2016-01-21 15:33:25
19.30,53.50,4540.80,68.20,0.00,480.86,17.55,1.00,2016-01-21 15:33:55
19.30,53.70,4540.80,68.10,0.00,485.05,17.64,1.00,2016-01-21 15:34:25
19.20,54.20,4540.80,68.20,0.00,484.98,17.63,1.00,2016-01-21 15:34:55
19.20,54.20,4540.80,68.20,0.00,484.99,17.63,1.00,2016-01-21 15:35:25
19.20,54.10,4540.80,68.10,0.00,485.06,17.72,1.00,2016-01-21 15:35:55
19.20,54.00,4540.80,68.20,0.00,484.96,17.72,1.00,2016-01-21 15:36:25
19.20,54.00,4540.80,68.10,0.00,485.08,17.77,1.00,2016-01-21 15:36:55
19.30,53.80,4540.80,68.20,0.00,480.93,17.72,1.00,2016-01-21 15:37:25
19.30,53.80,4540.80,68.10,0.00,485.05,17.81,1.00,2016-01-21 15:37:55
19.40,53.60,4540.80,68.10,0.00,480.99,17.73,1.00,2016-01-21 15:38:26
19.40,53.50,4540.80,68.10,0.00,480.97,17.81,1.00,2016-01-21 15:38:56
19.40,53.50,4540.80,68.10,0.00,480.96,17.81,1.00,2016-01-21 15:39:26
19.40,53.40,4540.80,68.20,0.00,480.92,17.81,1.00,2016-01-21 15:39:56
19.40,53.40,4540.80,68.10,0.00,477.59,17.81,1.00,2016-01-21 15:40:26
19.40,53.30,4540.80,68.20,0.00,480.90,17.87,1.00,2016-01-21 15:40:56
19.40,53.40,4540.80,68.20,0.00,480.83,17.89,1.00,2016-01-21 15:41:26
19.40,53.40,4540.80,68.10,0.00,480.97,17.90,1.00,2016-01-21 15:41:56
19.40,53.40,4540.80,68.20,0.00,480.94,17.89,1.00,2016-01-21 15:42:26
19.40,53.70,4540.80,68.10,0.00,480.96,17.89,1.00,2016-01-21 15:42:56
19.30,53.80,4540.80,68.20,0.00,481.02,18.06,1.00,2016-01-21 15:43:26
19.40,53.60,4540.80,68.20,0.00,484.91,18.07,1.00,2016-01-21 15:43:56
19.40,53.40,4540.80,68.10,0.00,472.95,18.16,1.00,2016-01-21 15:44:26
19.40,53.40,4540.80,68.20,0.00,476.84,18.15,1.00,2016-01-21 15:44:57
19.40,53.40,4540.80,68.20,0.00,480.94,18.07,1.00,2016-01-21 15:45:27
